No,Student ID,Full name,Name,Gender,DoB,Social ID
1,20127001,Vo Dinh Khoi,Khoi,Male,2/1/2002,242453682
2,20127002,Truong Gia Huy,Huy,Male,3/2/2002,242457476
3,20127003,Tran Quang An Quoc,Quoc,Male,4/3/2002,243535665
4,20127004,Truong Bao Khang,Khang,Male,5/4/2002,243437575
5,20127005,Dinh Huu Thien,Thien,Male,2/5/2002,277644549
6,20127006,Huynh Minh Bao,Bao,Male,2/6/2002,274347341
7,20127007,Nguyen Minh Tuan,Tuan,Male,7/8/2002,297242343
8,20127008,Le Hoang Minh,Minh,Male,7/9/2002,242436731
9,20127009,Nguyen Duy Tien,Tien,Male,11/10/2002,286741437
10,20127010,Dao Ba Loc,Loc,Male,11/11/2002,246434765
11,20127021,Tran Minh Khang,Khang,Male,12/1/2002,293743757
12,20127022,Nguyen Dang Khoa,Khoa,Male,21/2/2002,242733734
13,20127023,Le Hoang Quoc Viet,Viet,Male,13/3/2002,264346374
14,20127024,Le Minh Dung,Dung,Male,12/4/2002,293434575
15,20127025,Dao Thi Tuyet,Tuyet,Female,5/12/2002,247676423
